Zip Code,People / Sq Mi,
28202,"7,948.00",
28203,"5,539.30",
28204,"4,904.10",
28212,"4,888.70",
28205,"4,342.30",
28209,"4,241.90",
28207,"3,994.30",
28210,"3,863.90",
28213,"3,113.20",
28277,"2,917.70",
28211,"2,877.80",
28270,"2,772.30",
28226,"2,581.30",
28269,"2,542.90",
28215,"2,189.20",
28217,"2,079.50",
28262,"2,069.70",
28208,"2,017.90",
28273,"1,944.60",
28206,"1,835.80",
28216,"1,672.50",
28227,"1,445.90",
28214,"1,141.00",
28278,"1,054.40",
